City,"Meal Inexpensive Restaurant","Meal for 2 People Mid-range Restaurant Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (1 pint draught),Imported Beer (12 oz small bottle),Cappuccino (regular),Coke/Pepsi (12 oz small bottle),Water (12 oz small bottle),Markets,"Milk (regular) (1 gallon)",Loaf of Fresh White Bread (1 lb),"Rice (white) (1 lb)",Eggs (regular) (12),Local Cheese (1 lb),Chicken Fillets (1 lb),Beef Round (1 lb) (or Equivalent Back Leg Red Meat),Apples (1 lb),Banana (1 lb),Oranges (1 lb),Tomato (1 lb),Potato (1 lb),Onion (1 lb),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (12 oz small bottle),Cigarettes 20 Pack (Marlboro),Transportation,One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 gallon),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),Utilities (Monthly),"Basic (Electricity Heating Cooling Water Garbage) for 915 sq ft Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Sports And Leisure,"Fitness Club Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema International Release 1 Seat",Childcare,"Preschool (or Kindergarten) Full Day Private Monthly for 1 Child","International Primary School Yearly for 1 Child",Clothing And Shoes 1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara H&M ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Rent Per Month,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Buy Apartment Price,Price per Square Feet to Buy Apartment in City Centre,Price per Square Feet to Buy Apartment Outside of Centre,Salaries And Financing,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%) Yearly for 20 Years Fixed-Rate",Country
Markham,13.54 €,47.38 €,7.78 €,4.06 €,4.57 €,2.64 €,1.80 €,1.47 €,Edit,7.05 €,1.48 €,0.71 €,2.37 €,2.21 €,4.64 €,3.86 €,0.96 €,0.53 €,0.97 €,1.26 €,0.77 €,0.75 €,1.32 €,1.22 €,11.84 €,2.53 €,2.39 €,10.32 €,Edit,2.71 €,102.88 €,2.88 €,2.40 €,17.60 €,2.85 €,"16,920.70 €","16,362.31 €",Edit,102.44 €,0.42 €,43.16 €,Edit,34.32 €,6.77 €,10.15 €,Edit,813.04 €,"8,279.86 €",Edit,40.81 €,27.92 €,77.99 €,91.79 €,Edit,"1,302.89 €","1,115.26 €","1,890.28 €","1,619.55 €",Edit,641.58 €,459.45 €,Edit,"3,141.33 €",3.74,Canada
Bari,15.00 €,50.00 €,7.75 €,4.00 €,3.00 €,1.30 €,1.56 €,0.81 €,Edit,4.06 €,0.89 €,0.68 €,2.24 €,4.76 €,3.02 €,6.01 €,0.55 €,0.57 €,0.53 €,0.57 €,0.36 €,0.49 €,1.00 €,0.37 €,4.50 €,1.12 €,1.20 €,5.50 €,Edit,1.00 €,30.00 €,3.00 €,1.29 €,19.80 €,5.84 €,"24,500.00 €","20,000.00 €",Edit,131.47 €,0.07 €,27.25 €,Edit,36.25 €,13.75 €,7.00 €,Edit,262.50 €,?,Edit,59.38 €,27.78 €,80.00 €,86.43 €,Edit,506.25 €,387.50 €,835.71 €,637.50 €,Edit,227.61 €,161.03 €,Edit,"1,344.44 €",2.08,Italy
Fayetteville,10.61 €,36.61 €,6.66 €,3.33 €,4.16 €,3.57 €,1.43 €,1.30 €,Edit,2.42 €,1.77 €,1.64 €,1.14 €,4.85 €,3.16 €,5.30 €,1.62 €,0.45 €,1.14 €,1.05 €,0.66 €,0.78 €,1.26 €,1.71 €,12.48 €,1.75 €,1.89 €,5.44 €,Edit,0.00 €,0.00 €,2.91 €,2.07 €,24.96 €,1.85 €,"20,428.53 €","20,711.40 €",Edit,135.23 €,0.04 €,47.32 €,Edit,20.07 €,12.48 €,9.98 €,Edit,526.90 €,?,Edit,31.97 €,33.28 €,64.06 €,100.87 €,Edit,744.04 €,567.57 €,"1,923.88 €","1,149.13 €",Edit,175.43 €,103.85 €,Edit,"2,006.80 €",3.56,United States
Cluj-napoca,5.48 €,30.45 €,4.06 €,1.62 €,2.03 €,1.85 €,1.31 €,1.12 €,Edit,3.97 €,0.61 €,0.48 €,2.24 €,2.56 €,2.05 €,3.27 €,0.40 €,0.52 €,0.52 €,0.62 €,0.26 €,0.25 €,0.69 €,0.55 €,5.08 €,0.82 €,1.22 €,4.26 €,Edit,0.51 €,16.24 €,0.60 €,0.95 €,6.03 €,3.98 €,"16,310.91 €","17,505.81 €",Edit,88.44 €,0.07 €,8.37 €,Edit,29.44 €,15.03 €,5.38 €,Edit,309.27 €,"6,450.91 €",Edit,47.09 €,30.56 €,57.24 €,68.72 €,Edit,392.69 €,289.61 €,733.69 €,509.38 €,Edit,191.62 €,143.91 €,Edit,775.09 €,5.22,Romania
Malmo,9.83 €,61.95 €,8.85 €,6.39 €,5.90 €,3.84 €,1.74 €,1.81 €,Edit,4.57 €,2.07 €,1.02 €,3.05 €,4.25 €,4.51 €,6.60 €,1.19 €,1.05 €,1.25 €,1.54 €,0.51 €,0.51 €,1.88 €,1.27 €,9.29 €,1.52 €,1.83 €,6.24 €,Edit,2.66 €,54.09 €,4.92 €,2.69 €,39.34 €,5.83 €,"24,732.31 €","21,183.67 €",Edit,56.53 €,0.17 €,27.67 €,Edit,27.20 €,30.84 €,13.28 €,Edit,121.13 €,"1,858.61 €",Edit,84.42 €,27.38 €,84.88 €,104.77 €,Edit,785.48 €,627.50 €,"1,280.75 €","1,001.51 €",Edit,374.78 €,239.25 €,Edit,"2,291.54 €",1.92,Sweden
Cordoba,3.61 €,20.00 €,4.90 €,1.23 €,?,?,0.56 €,0.56 €,Edit,1.89 €,0.30 €,0.28 €,0.98 €,3.00 €,?,?,?,?,?,?,?,?,?,0.81 €,4.04 €,1.51 €,2.52 €,2.05 €,Edit,0.47 €,?,1.01 €,?,?,2.87 €,"22,148.35 €","18,819.86 €",Edit,50.49 €,?,20.20 €,Edit,?,?,?,Edit,140.61 €,"2,019.78 €",Edit,55.00 €,?,?,65.00 €,Edit,180.37 €,?,504.94 €,807.91 €,Edit,83.30 €,66.64 €,Edit,699.83 €,47.50,Argentina
Kuching,1.93 €,10.16 €,3.44 €,2.84 €,3.35 €,2.19 €,0.48 €,0.24 €,Edit,3.91 €,0.67 €,0.29 €,0.95 €,3.22 €,1.47 €,3.69 €,0.74 €,0.35 €,0.84 €,0.39 €,0.24 €,0.34 €,0.68 €,0.44 €,20.31 €,1.69 €,3.05 €,3.58 €,Edit,1.02 €,15.24 €,0.81 €,0.98 €,7.62 €,1.61 €,"33,771.62 €","28,710.11 €",Edit,64.33 €,0.07 €,24.61 €,Edit,50.23 €,7.79 €,2.84 €,Edit,167.25 €,"5,078.44 €",Edit,41.91 €,24.38 €,68.76 €,64.67 €,Edit,306.74 €,223.45 €,453.00 €,304.71 €,Edit,136.89 €,109.75 €,Edit,483.09 €,4.20,Malaysia
Jackson,9.98 €,49.92 €,6.66 €,3.33 €,4.16 €,3.54 €,1.68 €,1.07 €,Edit,3.81 €,3.05 €,1.66 €,1.36 €,4.98 €,3.95 €,3.31 €,3.05 €,0.57 €,2.01 €,2.34 €,1.69 €,1.52 €,1.80 €,2.91 €,11.23 €,2.23 €,3.05 €,4.78 €,Edit,0.83 €,41.60 €,2.50 €,3.24 €,19.97 €,1.64 €,"20,798.75 €","18,857.53 €",Edit,180.69 €,0.15 €,65.59 €,Edit,24.96 €,9.15 €,9.15 €,Edit,628.12 €,"3,743.77 €",Edit,40.88 €,22.04 €,62.87 €,55.57 €,Edit,790.35 €,694.68 €,984.47 €,940.10 €,Edit,224.28 €,49.58 €,Edit,"2,031.78 €",4.32,United States
Santa-Rosa,16.64 €,66.56 €,8.32 €,4.99 €,4.99 €,3.65 €,1.66 €,1.15 €,Edit,3.42 €,3.07 €,1.69 €,2.93 €,5.82 €,4.22 €,5.53 €,1.95 €,0.75 €,1.91 €,2.35 €,1.40 €,1.29 €,1.52 €,1.15 €,12.48 €,1.79 €,1.77 €,8.32 €,Edit,1.66 €,57.82 €,3.74 €,2.50 €,?,3.03 €,"20,798.75 €","19,966.80 €",Edit,151.18 €,?,67.25 €,Edit,35.13 €,10.40 €,10.40 €,Edit,901.28 €,"18,302.90 €",Edit,37.13 €,30.97 €,66.56 €,95.15 €,Edit,"1,476.71 €","1,319.23 €","2,329.46 €","2,360.66 €",Edit,337.66 €,328.83 €,Edit,"3,237.36 €",3.87,United States
Lansing,10.82 €,39.52 €,5.98 €,3.33 €,3.74 €,3.38 €,1.65 €,1.19 €,Edit,1.69 €,1.74 €,1.52 €,1.14 €,5.25 €,3.36 €,4.18 €,2.34 €,0.53 €,1.94 €,1.27 €,1.74 €,1.38 €,1.27 €,1.94 €,10.82 €,2.54 €,2.43 €,6.66 €,Edit,1.04 €,24.96 €,2.08 €,2.08 €,16.48 €,1.85 €,"21,630.70 €","27,870.32 €",Edit,112.89 €,0.21 €,47.66 €,Edit,22.46 €,18.30 €,7.49 €,Edit,707.16 €,?,Edit,43.68 €,23.57 €,55.46 €,95.67 €,Edit,880.20 €,598.17 €,"1,372.72 €",956.74 €,Edit,107.52 €,77.76 €,Edit,"2,249.59 €",3.50,United States
Newcastle,16.05 €,64.20 €,7.54 €,4.98 €,4.82 €,2.93 €,2.44 €,1.93 €,Edit,4.19 €,1.20 €,0.51 €,2.54 €,2.96 €,3.25 €,4.85 €,1.07 €,0.87 €,1.09 €,1.46 €,0.74 €,0.73 €,1.61 €,1.22 €,9.63 €,3.37 €,4.98 €,24.40 €,Edit,2.57 €,104.68 €,2.31 €,2.26 €,36.21 €,3.51 €,"19,260.48 €","21,507.54 €",Edit,148.67 €,0.14 €,53.47 €,Edit,33.22 €,10.43 €,10.91 €,Edit,739.92 €,"10,914.27 €",Edit,64.92 €,28.89 €,98.71 €,80.25 €,Edit,885.14 €,918.36 €,"2,375.46 €","1,295.90 €",Edit,424.13 €,242.56 €,Edit,"3,618.22 €",3.99,Australia
Ann-Arbor,9.15 €,54.08 €,6.66 €,3.33 €,4.99 €,3.50 €,1.65 €,1.39 €,Edit,2.39 €,1.83 €,1.39 €,1.84 €,5.34 €,3.66 €,5.09 €,2.26 €,0.47 €,1.64 €,1.65 €,1.15 €,0.83 €,0.98 €,1.58 €,10.81 €,1.82 €,2.16 €,6.86 €,Edit,1.25 €,48.25 €,2.50 €,2.50 €,19.97 €,2.06 €,"17,787.09 €","16,097.82 €",Edit,137.16 €,0.17 €,57.14 €,Edit,38.73 €,26.06 €,9.15 €,Edit,"1,039.94 €","9,983.40 €",Edit,39.75 €,30.90 €,58.76 €,90.27 €,Edit,"1,201.13 €",837.15 €,"2,651.84 €","1,585.90 €",Edit,230.57 €,166.04 €,Edit,"3,544.11 €",3.81,United States
Timisoara,5.08 €,21.32 €,4.06 €,1.22 €,1.73 €,1.75 €,1.13 €,1.02 €,Edit,3.83 €,0.58 €,0.42 €,2.05 €,2.20 €,1.93 €,3.32 €,0.41 €,0.49 €,0.52 €,0.52 €,0.26 €,0.26 €,0.60 €,0.50 €,4.26 €,0.76 €,1.13 €,4.06 €,Edit,0.51 €,18.27 €,0.52 €,0.84 €,5.24 €,3.85 €,"15,226.77 €","16,203.56 €",Edit,102.26 €,0.05 €,6.47 €,Edit,23.83 €,9.70 €,4.77 €,Edit,218.25 €,"4,137.56 €",Edit,46.39 €,25.37 €,58.01 €,70.77 €,Edit,313.28 €,236.79 €,510.32 €,414.37 €,Edit,130.51 €,107.07 €,Edit,792.20 €,5.10,Romania
Henderson,12.48 €,49.92 €,6.66 €,3.74 €,4.16 €,3.24 €,0.96 €,1.14 €,Edit,2.50 €,2.30 €,2.09 €,2.03 €,3.57 €,2.48 €,3.53 €,1.38 €,0.62 €,1.51 €,1.24 €,1.04 €,0.81 €,1.05 €,1.31 €,8.32 €,2.28 €,2.77 €,8.32 €,Edit,4.16 €,54.08 €,3.24 €,2.30 €,33.28 €,2.39 €,"21,176.87 €","23,433.26 €",Edit,146.12 €,0.08 €,70.61 €,Edit,23.06 €,4.16 €,9.15 €,Edit,"1,331.12 €","12,978.42 €",Edit,37.85 €,28.42 €,59.38 €,80.60 €,Edit,"1,088.29 €",961.02 €,"1,536.37 €","1,318.15 €",Edit,345.51 €,140.58 €,Edit,"3,424.31 €",4.31,United States
Huntsville,9.98 €,39.52 €,5.82 €,3.33 €,4.16 €,3.88 €,1.47 €,1.01 €,Edit,1.98 €,1.89 €,1.50 €,1.43 €,3.85 €,2.88 €,4.51 €,2.41 €,0.57 €,1.51 €,1.18 €,1.33 €,1.08 €,1.31 €,1.04 €,9.98 €,3.17 €,3.05 €,4.99 €,Edit,0.83 €,31.61 €,2.91 €,1.66 €,20.80 €,1.81 €,"20,798.75 €","19,136.24 €",Edit,113.73 €,0.25 €,53.15 €,Edit,18.30 €,10.82 €,7.49 €,Edit,658.63 €,"10,316.18 €",Edit,29.59 €,24.96 €,51.68 €,67.15 €,Edit,889.15 €,548.05 €,"1,483.64 €",980.51 €,Edit,152.79 €,62.98 €,Edit,"2,741.23 €",4.10,United States
Lexington,7.90 €,41.60 €,4.99 €,2.91 €,4.16 €,3.67 €,1.90 €,1.23 €,Edit,1.94 €,1.67 €,1.47 €,1.43 €,3.33 €,2.38 €,5.15 €,1.75 €,0.46 €,1.39 €,1.30 €,0.76 €,0.78 €,1.09 €,1.46 €,9.98 €,1.79 €,2.20 €,4.75 €,Edit,0.83 €,24.96 €,2.08 €,2.08 €,20.80 €,1.88 €,"16,639.00 €","16,223.02 €",Edit,133.96 €,0.07 €,58.88 €,Edit,24.60 €,13.59 €,9.57 €,Edit,429.49 €,"9,151.45 €",Edit,31.30 €,31.26 €,72.97 €,83.31 €,Edit,701.64 €,596.24 €,"1,216.73 €",897.32 €,Edit,146.28 €,81.04 €,Edit,"2,581.33 €",3.79,United States
Mobile,11.23 €,41.60 €,6.66 €,3.33 €,4.99 €,4.01 €,1.21 €,0.90 €,Edit,2.89 €,1.80 €,0.99 €,1.42 €,4.00 €,4.01 €,4.87 €,2.23 €,0.49 €,1.10 €,1.61 €,0.97 €,0.99 €,1.33 €,1.11 €,9.98 €,2.14 €,2.70 €,4.99 €,Edit,1.66 €,33.28 €,2.08 €,1.70 €,12.06 €,1.83 €,"25,971.40 €","25,374.47 €",Edit,157.89 €,0.21 €,46.38 €,Edit,22.67 €,9.15 €,9.98 €,Edit,435.39 €,"9,428.77 €",Edit,35.25 €,26.35 €,61.88 €,77.85 €,Edit,710.72 €,545.97 €,"1,074.78 €",862.11 €,Edit,106.34 €,45.08 €,Edit,"2,208.00 €",4.33,United States
Munster,9.50 €,50.00 €,8.00 €,3.90 €,3.00 €,2.80 €,1.73 €,1.40 €,Edit,2.85 €,1.18 €,0.89 €,2.17 €,3.43 €,3.28 €,4.80 €,1.03 €,0.71 €,0.91 €,1.12 €,0.59 €,0.61 €,0.76 €,0.35 €,4.99 €,0.54 €,1.22 €,6.40 €,Edit,3.25 €,65.00 €,3.50 €,3.54 €,26.40 €,5.32 €,"19,750.00 €","21,250.00 €",Edit,225.69 €,0.10 €,28.99 €,Edit,24.00 €,17.50 €,9.00 €,Edit,316.67 €,"12,000.00 €",Edit,80.00 €,27.00 €,78.17 €,91.80 €,Edit,740.00 €,526.00 €,"1,480.00 €",882.00 €,Edit,557.41 €,294.19 €,Edit,"2,800.00 €",1.84,Germany
Karlsruhe,8.45 €,60.00 €,8.00 €,3.50 €,3.70 €,2.76 €,2.51 €,2.33 €,Edit,3.28 €,0.89 €,0.87 €,2.12 €,4.14 €,3.13 €,3.88 €,0.97 €,0.86 €,0.65 €,1.09 €,0.51 €,0.48 €,0.98 €,0.24 €,5.00 €,0.66 €,1.24 €,7.00 €,Edit,2.60 €,65.50 €,3.50 €,3.54 €,30.00 €,5.16 €,"22,233.00 €","21,905.75 €",Edit,195.79 €,0.10 €,33.59 €,Edit,38.75 €,22.00 €,10.00 €,Edit,309.38 €,"13,800.00 €",Edit,83.50 €,40.71 €,82.78 €,115.62 €,Edit,672.86 €,544.58 €,"1,240.00 €","1,072.73 €",Edit,402.40 €,302.68 €,Edit,"2,476.25 €",1.52,Germany
Catania,11.50 €,50.00 €,8.50 €,3.50 €,3.25 €,1.51 €,1.50 €,0.94 €,Edit,3.91 €,0.96 €,0.91 €,1.86 €,3.45 €,2.90 €,4.98 €,0.67 €,0.54 €,0.46 €,0.64 €,0.48 €,0.58 €,0.79 €,0.57 €,5.50 €,1.11 €,2.05 €,5.20 €,Edit,1.00 €,33.09 €,5.00 €,1.61 €,18.00 €,5.87 €,"23,308.36 €","19,142.02 €",Edit,200.04 €,0.08 €,33.00 €,Edit,36.73 €,22.06 €,8.25 €,Edit,283.33 €,"4,071.01 €",Edit,76.93 €,26.60 €,66.93 €,96.31 €,Edit,612.50 €,344.04 €,885.71 €,654.75 €,Edit,200.67 €,121.88 €,Edit,"1,237.88 €",1.87,Italy
Fort-Collins,9.98 €,41.60 €,6.66 €,3.33 €,4.37 €,3.84 €,2.01 €,1.57 €,Edit,2.73 €,2.21 €,1.87 €,2.91 €,5.75 €,5.82 €,4.71 €,2.21 €,0.60 €,1.55 €,1.29 €,1.19 €,0.91 €,2.26 €,2.01 €,11.65 €,2.92 €,2.98 €,?,Edit,1.66 €,29.12 €,2.91 €,1.87 €,9.15 €,2.08 €,"21,630.70 €","17,782.10 €",Edit,118.72 €,0.12 €,48.01 €,Edit,48.25 €,12.48 €,8.42 €,Edit,811.15 €,"3,743.77 €",Edit,33.90 €,32.58 €,64.37 €,87.83 €,Edit,"1,168.51 €",979.85 €,"1,965.48 €","1,461.11 €",Edit,660.27 €,170.22 €,Edit,"2,941.32 €",4.48,United States
Port-Elizabeth,6.74 €,34.44 €,4.02 €,1.89 €,2.15 €,1.75 €,0.65 €,0.51 €,Edit,3.39 €,0.67 €,0.42 €,1.74 €,2.70 €,2.03 €,3.02 €,0.49 €,0.47 €,0.51 €,0.63 €,0.36 €,0.37 €,0.85 €,0.80 €,2.87 €,1.23 €,1.25 €,2.64 €,Edit,0.86 €,16.64 €,0.72 €,0.92 €,15.78 €,3.36 €,"16,931.48 €","18,185.56 €",Edit,60.34 €,0.06 €,66.82 €,Edit,21.81 €,2.44 €,5.17 €,Edit,156.11 €,"6,313.43 €",Edit,41.77 €,24.87 €,55.39 €,54.53 €,Edit,236.04 €,261.86 €,418.98 €,427.91 €,Edit,63.99 €,39.99 €,Edit,914.01 €,9.08,South Africa
Asheville,12.48 €,49.92 €,6.03 €,4.16 €,4.99 €,3.42 €,1.54 €,1.54 €,Edit,3.00 €,2.02 €,1.36 €,2.20 €,6.63 €,4.75 €,5.62 €,1.81 €,0.80 €,1.66 €,2.34 €,0.77 €,0.83 €,1.86 €,1.77 €,12.48 €,3.05 €,3.28 €,4.99 €,Edit,0.83 €,16.64 €,4.78 €,2.91 €,23.37 €,2.05 €,"16,639.00 €","17,304.56 €",Edit,150.70 €,0.12 €,53.61 €,Edit,36.22 €,18.03 €,9.98 €,Edit,596.23 €,"14,143.15 €",Edit,35.45 €,24.65 €,66.49 €,97.49 €,Edit,"1,141.26 €",809.07 €,"1,970.21 €","1,343.00 €",Edit,388.58 €,144.55 €,Edit,"2,895.19 €",4.62,United States
Santa-Clarita,16.64 €,45.76 €,6.66 €,4.58 €,4.99 €,4.16 €,1.66 €,1.27 €,Edit,2.81 €,2.71 €,1.11 €,2.06 €,5.20 €,5.54 €,5.11 €,1.07 €,0.53 €,1.17 €,1.34 €,0.74 €,0.88 €,1.49 €,1.46 €,9.15 €,1.74 €,2.27 €,7.90 €,Edit,1.66 €,149.75 €,2.37 €,2.25 €,24.96 €,2.78 €,"28,198.95 €","18,254.37 €",Edit,103.56 €,0.17 €,51.70 €,Edit,24.40 €,29.12 €,11.86 €,Edit,748.75 €,"6,239.62 €",Edit,41.18 €,29.12 €,63.23 €,78.87 €,Edit,"1,649.04 €","1,609.30 €","2,399.25 €","2,153.63 €",Edit,271.71 €,265.49 €,Edit,"3,722.98 €",3.46,United States
Mannheim,10.00 €,60.00 €,7.50 €,3.90 €,3.50 €,2.83 €,2.49 €,2.03 €,Edit,3.07 €,1.37 €,0.88 €,2.15 €,3.65 €,3.28 €,4.48 €,1.03 €,0.77 €,0.66 €,1.00 €,0.57 €,0.47 €,0.82 €,0.30 €,4.99 €,0.65 €,1.42 €,6.40 €,Edit,2.20 €,74.70 €,3.50 €,3.70 €,30.00 €,5.20 €,"23,000.00 €","20,000.00 €",Edit,277.26 €,0.10 €,30.60 €,Edit,40.00 €,21.00 €,12.00 €,Edit,445.00 €,"9,675.00 €",Edit,71.13 €,30.71 €,95.75 €,117.12 €,Edit,610.83 €,464.00 €,"1,075.00 €",893.75 €,Edit,344.90 €,281.96 €,Edit,"2,342.67 €",2.22,Germany
Vaughan,10.15 €,54.15 €,7.78 €,4.65 €,5.41 €,2.77 €,1.49 €,0.98 €,Edit,9.15 €,1.89 €,1.33 €,2.71 €,4.61 €,4.29 €,7.68 €,1.30 €,0.85 €,1.02 €,1.38 €,1.07 €,0.87 €,1.76 €,1.24 €,12.86 €,1.69 €,1.74 €,8.12 €,Edit,2.37 €,98.14 €,2.61 €,2.45 €,20.30 €,2.70 €,"18,274.35 €","17,597.52 €",Edit,130.26 €,0.27 €,57.32 €,Edit,31.92 €,20.30 €,8.79 €,Edit,925.00 €,"13,536.56 €",Edit,52.34 €,43.99 €,75.04 €,105.81 €,Edit,"1,266.63 €","1,092.59 €","2,010.18 €","1,685.30 €",Edit,602.88 €,419.05 €,Edit,"2,399.92 €",3.50,Canada
Curepipe,5.16 €,22.71 €,4.13 €,1.36 €,2.79 €,1.94 €,0.83 €,0.38 €,Edit,3.46 €,0.15 €,0.59 €,1.57 €,?,1.87 €,3.28 €,1.12 €,0.56 €,0.56 €,0.56 €,0.36 €,0.37 €,0.62 €,0.52 €,9.29 €,1.18 €,1.14 €,4.54 €,Edit,0.70 €,4.13 €,4.13 €,3.32 €,10.32 €,3.88 €,"26,837.18 €","24,084.65 €",Edit,50.60 €,0.05 €,23.40 €,Edit,26.32 €,4.82 €,5.16 €,Edit,86.02 €,"1,899.25 €",Edit,42.66 €,23.74 €,54.19 €,49.03 €,Edit,240.85 €,154.83 €,447.29 €,378.47 €,Edit,34.52 €,47.41 €,Edit,502.34 €,7.67,Mauritius
Wollongong,10.91 €,44.94 €,7.70 €,4.49 €,5.14 €,2.78 €,1.94 €,1.69 €,Edit,3.85 €,1.36 €,0.85 €,2.95 €,5.17 €,3.26 €,8.64 €,1.26 €,1.13 €,1.07 €,1.30 €,1.16 €,1.26 €,2.00 €,1.82 €,10.27 €,3.21 €,2.57 €,25.68 €,Edit,2.57 €,27.91 €,2.31 €,2.26 €,36.39 €,3.40 €,"22,470.56 €","21,163.74 €",Edit,110.75 €,0.64 €,48.58 €,Edit,33.51 €,13.80 €,11.56 €,Edit,449.41 €,?,Edit,69.70 €,42.80 €,86.67 €,82.18 €,Edit,"1,246.80 €","1,428.49 €","3,084.89 €","1,877.90 €",Edit,357.87 €,357.87 €,Edit,"3,043.90 €",3.73,Australia
Lakeland,11.23 €,39.52 €,6.66 €,2.60 €,4.16 €,3.26 €,1.57 €,1.39 €,Edit,3.08 €,2.08 €,1.70 €,1.54 €,5.35 €,3.26 €,5.19 €,1.24 €,0.47 €,1.45 €,1.10 €,1.33 €,1.10 €,1.84 €,1.52 €,8.32 €,2.37 €,2.29 €,6.61 €,Edit,1.25 €,40.35 €,4.16 €,?,12.48 €,1.93 €,"18,173.95 €","16,221.99 €",Edit,98.53 €,0.33 €,49.80 €,Edit,38.48 €,17.19 €,8.74 €,Edit,681.58 €,?,Edit,33.28 €,16.36 €,54.08 €,67.39 €,Edit,804.08 €,754.86 €,"1,393.52 €","1,198.01 €",Edit,149.42 €,89.86 €,Edit,"2,584.87 €",4.40,United States
Bialystok,4.39 €,21.95 €,3.95 €,1.65 €,1.76 €,1.67 €,0.90 €,0.80 €,Edit,2.08 €,0.56 €,0.41 €,1.96 €,2.07 €,1.56 €,2.95 €,0.35 €,0.40 €,0.49 €,0.60 €,0.19 €,0.23 €,0.64 €,0.41 €,5.49 €,0.69 €,1.04 €,3.51 €,Edit,0.66 €,18.65 €,1.10 €,0.78 €,8.82 €,4.13 €,"17,249.31 €","16,147.64 €",Edit,161.90 €,0.05 €,10.91 €,Edit,22.54 €,17.28 €,5.49 €,Edit,185.44 €,"1,792.23 €",Edit,36.98 €,28.84 €,61.17 €,78.38 €,Edit,310.37 €,241.40 €,519.38 €,396.85 €,Edit,135.43 €,100.78 €,Edit,583.13 €,4.40,Poland
Merida,3.91 €,20.55 €,4.11 €,1.44 €,2.65 €,2.24 €,0.65 €,0.59 €,Edit,3.04 €,1.07 €,0.36 €,1.17 €,2.28 €,2.07 €,2.68 €,0.81 €,0.36 €,0.60 €,0.51 €,0.42 €,0.45 €,0.67 €,0.70 €,8.22 €,1.05 €,1.74 €,2.47 €,Edit,0.33 €,21.58 €,1.23 €,1.07 €,8.22 €,2.99 €,"9,153.08 €","11,752.58 €",Edit,38.00 €,0.10 €,21.09 €,Edit,22.31 €,12.90 €,3.29 €,Edit,107.46 €,"1,849.76 €",Edit,39.80 €,25.51 €,52.22 €,48.74 €,Edit,311.23 €,160.69 €,540.76 €,348.53 €,Edit,101.16 €,99.97 €,Edit,313.93 €,16.50,Mexico
Valladolid,10.00 €,30.00 €,7.00 €,2.00 €,3.50 €,1.33 €,2.00 €,0.83 €,Edit,2.65 €,0.97 €,0.40 €,2.19 €,7.41 €,2.69 €,5.67 €,0.70 €,0.82 €,0.57 €,0.70 €,0.40 €,0.36 €,1.00 €,0.80 €,7.00 €,0.60 €,1.30 €,5.00 €,Edit,1.50 €,38.00 €,2.00 €,1.53 €,25.00 €,4.96 €,"21,452.50 €","23,000.00 €",Edit,95.45 €,0.09 €,43.12 €,Edit,33.29 €,11.12 €,7.50 €,Edit,296.67 €,"8,333.33 €",Edit,55.00 €,35.00 €,54.00 €,100.00 €,Edit,580.00 €,380.00 €,883.33 €,541.67 €,Edit,371.61 €,164.90 €,Edit,"1,250.00 €",3.50,Spain
Vigo,9.00 €,45.00 €,7.00 €,2.50 €,3.00 €,1.46 €,1.61 €,1.15 €,Edit,3.08 €,0.86 €,0.46 €,1.93 €,3.56 €,2.81 €,4.76 €,0.79 €,0.77 €,0.79 €,0.95 €,0.64 €,0.66 €,0.92 €,0.52 €,5.00 €,0.87 €,1.36 €,5.00 €,Edit,1.30 €,45.00 €,3.67 €,1.61 €,20.31 €,5.03 €,"20,000.00 €","19,750.00 €",Edit,144.70 €,0.21 €,41.86 €,Edit,36.25 €,7.88 €,7.50 €,Edit,240.00 €,"7,126.67 €",Edit,68.43 €,23.57 €,61.25 €,81.43 €,Edit,503.57 €,394.29 €,842.86 €,635.71 €,Edit,248.68 €,135.87 €,Edit,"1,423.43 €",3.67,Spain
