City,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid range Restaurant, Three course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Cappuccino (regular),Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle),Markets,"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid Range),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Cigarettes 20 Pack (Marlboro),Transportation,One way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Sports And Leisure,"Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid Range),1 Pair of Men Leather Business Shoes,Rent Per Month,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Salaries And Financing,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed Rate"
Kolhapur,1.68 €,5.61 €,2.25 €,1.96 €,3.37 €,1.42 €,0.44 €,0.15 €,Edit,0.60 €,0.41 €,0.51 €,0.76 €,2.92 €,1.95 €,1.46 €,1.82 €,0.51 €,0.71 €,0.45 €,0.32 €,0.39 €,?,0.31 €,?,1.68 €,1.68 €,3.37 €,Edit,0.17 €,5.33 €,0.27 €,0.28 €,1.12 €,0.89 €,"16,061.76 €","20,412.64 €",Edit,15.72 €,0.01 €,5.80 €,Edit,15.44 €,7.11 €,2.25 €,Edit,112.28 €,"1,983.63 €",Edit,33.68 €,20.96 €,33.68 €,21.71 €,Edit,88.42 €,51.93 €,199.30 €,105.26 €,Edit,687.98 €,461.99 €,Edit,250.76 €,10.67
Joinville,3.37 €,15.30 €,3.90 €,1.53 €,2.29 €,0.99 €,0.74 €,0.53 €,Edit,0.45 €,1.06 €,0.49 €,0.92 €,4.79 €,2.01 €,4.45 €,0.96 €,0.48 €,0.71 €,0.83 €,0.57 €,0.64 €,0.53 €,0.50 €,6.73 €,1.12 €,2.18 €,1.84 €,Edit,0.73 €,38.24 €,1.06 €,0.59 €,6.12 €,0.65 €,"14,915.28 €","16,163.40 €",Edit,63.17 €,0.18 €,18.03 €,Edit,16.24 €,15.69 €,4.59 €,Edit,170.95 €,"3,351.00 €",Edit,37.24 €,26.27 €,45.41 €,37.47 €,Edit,183.56 €,124.18 €,334.42 €,232.71 €,Edit,724.85 €,523.63 €,Edit,267.71 €,10.08
Albuquerque,11.65 €,37.44 €,6.64 €,4.16 €,3.74 €,3.10 €,1.37 €,0.95 €,Edit,0.61 €,2.28 €,2.36 €,1.58 €,9.82 €,6.00 €,9.42 €,3.46 €,1.63 €,2.36 €,3.58 €,1.81 €,1.93 €,1.32 €,1.86 €,10.82 €,2.63 €,3.12 €,6.97 €,Edit,0.83 €,24.96 €,2.08 €,1.14 €,23.63 €,0.50 €,"18,302.90 €","16,431.01 €",Edit,106.04 €,0.15 €,63.18 €,Edit,31.21 €,3.05 €,9.98 €,Edit,626.56 €,"16,916.32 €",Edit,36.24 €,27.93 €,58.13 €,66.97 €,Edit,688.69 €,561.01 €,"1,202.17 €","1,091.93 €",Edit,"2,057.81 €","1,085.53 €",Edit,"2,460.30 €",3.62
Agadir,2.79 €,13.94 €,4.65 €,2.79 €,4.65 €,1.70 €,0.71 €,0.35 €,Edit,0.66 €,0.58 €,1.15 €,1.17 €,8.62 €,3.73 €,7.73 €,1.17 €,0.85 €,0.64 €,0.40 €,0.47 €,0.40 €,0.46 €,0.52 €,6.04 €,1.98 €,1.61 €,3.02 €,Edit,0.37 €,13.02 €,0.46 €,0.60 €,2.32 €,0.93 €,"19,057.97 €","16,443.30 €",Edit,35.01 €,0.12 €,26.00 €,Edit,20.48 €,17.93 €,6.00 €,Edit,83.67 €,"1,719.87 €",Edit,24.51 €,36.95 €,56.55 €,52.06 €,Edit,253.80 €,143.58 €,431.02 €,212.27 €,Edit,"1,626.90 €","1,009.34 €",Edit,302.98 €,6.36
Gomel,4.88 €,19.55 €,3.90 €,1.14 €,1.30 €,0.96 €,0.49 €,0.34 €,Edit,0.52 €,0.37 €,0.69 €,0.99 €,4.72 €,2.31 €,4.44 €,0.84 €,0.97 €,1.26 €,1.27 €,0.30 €,0.38 €,0.44 €,0.44 €,2.60 €,0.69 €,1.14 €,1.14 €,Edit,0.23 €,11.54 €,0.98 €,0.16 €,2.18 €,0.60 €,"12,677.12 €","11,376.90 €",Edit,42.49 €,0.03 €,8.29 €,Edit,23.86 €,6.59 €,2.28 €,Edit,499.17 €,?,Edit,25.35 €,31.10 €,55.19 €,76.47 €,Edit,128.06 €,66.81 €,205.28 €,151.10 €,Edit,673.75 €,488.08 €,Edit,255.88 €,18.62
Leipzig,8.00 €,47.50 €,8.00 €,3.50 €,3.50 €,2.65 €,2.29 €,1.87 €,Edit,0.87 €,1.23 €,1.95 €,2.05 €,7.56 €,6.14 €,8.89 €,2.03 €,1.39 €,1.43 €,2.30 €,1.01 €,0.97 €,0.96 €,0.28 €,4.00 €,0.64 €,1.81 €,6.40 €,Edit,2.70 €,78.90 €,3.50 €,2.25 €,25.00 €,1.37 €,"25,000.00 €","24,000.00 €",Edit,240.18 €,0.11 €,33.45 €,Edit,25.49 €,21.25 €,10.00 €,Edit,145.82 €,"9,320.00 €",Edit,60.71 €,33.57 €,74.14 €,81.67 €,Edit,519.56 €,416.88 €,"1,155.56 €",883.00 €,Edit,"3,500.00 €","2,316.67 €",Edit,"1,775.00 €",1.84
Valenzuela,1.98 €,5.39 €,3.19 €,1.03 €,1.55 €,1.21 €,0.34 €,0.22 €,Edit,1.38 €,1.14 €,0.94 €,1.14 €,1.55 €,3.02 €,4.74 €,1.53 €,1.95 €,1.64 €,1.49 €,1.52 €,1.55 €,1.72 €,1.06 €,3.88 €,0.73 €,1.38 €,1.72 €,Edit,0.16 €,6.04 €,0.69 €,0.27 €,2.76 €,0.80 €,"23,282.28 €","22,764.89 €",Edit,86.23 €,0.10 €,32.75 €,Edit,60.36 €,2.59 €,3.79 €,Edit,93.42 €,"25,869.20 €",Edit,43.12 €,25.87 €,60.36 €,38.80 €,Edit,83.36 €,43.12 €,172.46 €,120.72 €,Edit,"1,207.23 €",603.61 €,Edit,180.05 €,10.00
Panama City,8.32 €,41.60 €,6.24 €,2.08 €,3.33 €,2.62 €,1.18 €,0.92 €,Edit,1.25 €,1.56 €,1.94 €,1.79 €,7.79 €,6.57 €,9.12 €,2.97 €,1.57 €,2.08 €,2.24 €,1.92 €,1.93 €,1.60 €,1.21 €,8.32 €,0.87 €,1.61 €,4.99 €,Edit,0.29 €,16.64 €,2.08 €,1.66 €,12.48 €,0.62 €,"16,639.00 €","17,095.74 €",Edit,85.52 €,0.12 €,37.92 €,Edit,39.89 €,23.40 €,5.41 €,Edit,279.00 €,"9,945.51 €",Edit,43.43 €,32.48 €,62.40 €,77.71 €,Edit,754.43 €,475.66 €,"1,342.32 €",901.28 €,Edit,"1,846.58 €","1,250.52 €",Edit,666.26 €,5.39
Durango,4.11 €,18.49 €,5.16 €,1.24 €,2.05 €,2.07 €,0.76 €,0.84 €,Edit,0.77 €,1.68 €,1.30 €,1.43 €,4.84 €,3.46 €,5.19 €,1.42 €,0.83 €,0.50 €,0.84 €,0.82 €,0.90 €,0.59 €,0.54 €,6.58 €,0.94 €,1.26 €,2.59 €,Edit,0.41 €,19.32 €,0.70 €,0.82 €,9.25 €,0.83 €,"12,637.78 €","13,987.18 €",Edit,14.48 €,0.10 €,21.21 €,Edit,23.63 €,22.60 €,2.01 €,Edit,47.26 €,"1,027.46 €",Edit,29.80 €,13.70 €,44.39 €,35.34 €,Edit,143.84 €,90.42 €,416.25 €,254.68 €,Edit,"2,145.61 €",719.52 €,Edit,416.12 €,11.02
Niteroi,3.06 €,22.03 €,4.59 €,1.38 €,2.45 €,1.17 €,1.12 €,0.63 €,Edit,0.61 €,1.09 €,0.96 €,1.08 €,5.07 €,1.89 €,5.10 €,1.06 €,0.75 €,0.68 €,1.05 €,0.67 €,0.69 €,0.30 €,0.47 €,4.59 €,0.92 €,1.89 €,1.49 €,Edit,0.62 €,27.26 €,0.98 €,0.42 €,9.18 €,0.80 €,"19,504.03 €","17,796.53 €",Edit,96.33 €,0.17 €,14.02 €,Edit,18.87 €,14.61 €,5.12 €,Edit,401.57 €,"3,487.92 €",Edit,35.19 €,33.01 €,42.40 €,45.89 €,Edit,281.48 €,211.11 €,455.88 €,340.38 €,Edit,"1,172.84 €",832.87 €,Edit,346.75 €,11.00
Dresden,10.00 €,49.00 €,8.00 €,3.25 €,3.50 €,2.40 €,3.20 €,1.90 €,Edit,0.86 €,0.90 €,2.24 €,2.24 €,7.95 €,7.03 €,9.15 €,2.07 €,1.77 €,1.55 €,2.46 €,0.97 €,1.16 €,1.07 €,0.31 €,4.99 €,0.58 €,1.39 €,7.00 €,Edit,2.40 €,61.50 €,3.90 €,2.20 €,24.00 €,1.36 €,"19,300.00 €","20,631.33 €",Edit,327.84 €,0.09 €,35.00 €,Edit,25.00 €,19.00 €,10.00 €,Edit,183.00 €,"8,950.00 €",Edit,76.50 €,36.80 €,79.62 €,92.86 €,Edit,533.33 €,434.55 €,"1,256.25 €",812.22 €,Edit,"3,400.00 €","2,575.00 €",Edit,"2,477.29 €",1.91
Long Beach,10.40 €,52.00 €,6.66 €,5.62 €,6.66 €,3.53 €,1.60 €,1.19 €,Edit,0.86 €,2.84 €,4.12 €,2.54 €,9.47 €,9.17 €,12.44 €,3.87 €,1.37 €,2.55 €,3.09 €,1.79 €,2.04 €,1.18 €,1.11 €,8.31 €,2.36 €,2.35 €,8.74 €,Edit,1.04 €,54.08 €,2.37 €,1.40 €,29.95 €,0.79 €,"20,798.75 €","20,174.79 €",Edit,88.44 €,0.05 €,52.16 €,Edit,25.34 €,18.51 €,11.02 €,Edit,582.36 €,"12,895.22 €",Edit,34.68 €,24.13 €,55.74 €,72.30 €,Edit,"1,575.70 €","1,178.69 €","2,419.59 €","2,069.48 €",Edit,"6,241.04 €","4,977.19 €",Edit,"3,468.40 €",3.80
Las Pinas,3.02 €,13.80 €,2.59 €,0.86 €,1.64 €,2.11 €,0.65 €,0.39 €,Edit,1.21 €,0.94 €,0.80 €,1.46 €,3.56 €,2.80 €,5.17 €,1.35 €,0.89 €,1.39 €,0.69 €,0.52 €,0.43 €,1.29 €,0.78 €,4.74 €,0.64 €,1.53 €,1.67 €,Edit,0.17 €,16.56 €,0.69 €,0.23 €,1.21 €,0.91 €,"21,557.67 €","16,096.39 €",Edit,131.50 €,0.13 €,35.23 €,Edit,46.56 €,7.47 €,4.48 €,Edit,229.95 €,"2,155.77 €",Edit,29.66 €,22.25 €,74.73 €,43.12 €,Edit,250.07 €,168.15 €,776.08 €,288.87 €,Edit,"1,724.61 €",603.61 €,Edit,301.81 €,10.00
Makati,3.62 €,24.14 €,2.93 €,1.21 €,1.72 €,2.23 €,1.03 €,0.33 €,Edit,1.77 €,1.73 €,1.18 €,2.27 €,8.94 €,4.74 €,7.51 €,3.75 €,2.52 €,4.83 €,3.03 €,3.13 €,1.96 €,3.21 €,0.99 €,17.25 €,1.26 €,1.56 €,1.83 €,Edit,0.26 €,10.80 €,0.69 €,0.43 €,2.33 €,0.84 €,"23,282.28 €","22,381.17 €",Edit,131.15 €,0.11 €,36.67 €,Edit,52.82 €,7.76 €,5.60 €,Edit,373.67 €,"9,485.37 €",Edit,46.56 €,34.00 €,79.76 €,66.11 €,Edit,645.31 €,329.71 €,"1,760.66 €",956.52 €,Edit,"3,623.86 €","2,155.77 €",Edit,431.15 €,4.50
Siliguri,1.12 €,9.54 €,3.93 €,1.66 €,2.25 €,0.65 €,0.34 €,0.16 €,Edit,0.51 €,0.29 €,0.52 €,0.70 €,4.91 €,1.86 €,4.04 €,1.32 €,0.66 €,0.95 €,0.46 €,0.23 €,0.39 €,0.84 €,0.29 €,5.05 €,1.46 €,2.06 €,3.59 €,Edit,0.11 €,5.05 €,0.45 €,0.13 €,1.35 €,0.84 €,"13,473.69 €","19,649.13 €",Edit,19.19 €,0.01 €,5.42 €,Edit,6.74 €,6.74 €,2.81 €,Edit,8.98 €,589.47 €,Edit,22.46 €,16.09 €,32.56 €,29.19 €,Edit,64.56 €,30.88 €,168.42 €,106.67 €,Edit,604.29 €,302.15 €,Edit,530.53 €,8.37
Ipoh,1.52 €,10.16 €,3.05 €,3.05 €,3.66 €,1.79 €,0.43 €,0.23 €,Edit,1.20 €,0.63 €,0.91 €,1.15 €,14.32 €,2.88 €,7.57 €,1.62 €,1.06 €,1.79 €,0.96 €,0.75 €,0.93 €,0.81 €,0.45 €,13.20 €,2.35 €,2.59 €,3.61 €,Edit,0.41 €,20.31 €,0.61 €,0.30 €,6.09 €,0.40 €,"31,475.15 €","20,313.76 €",Edit,28.37 €,0.06 €,25.60 €,Edit,44.01 €,4.74 €,3.05 €,Edit,121.88 €,"6,144.91 €",Edit,37.49 €,24.38 €,57.82 €,50.95 €,Edit,259.00 €,152.35 €,345.33 €,255.95 €,Edit,"1,501.85 €",847.36 €,Edit,616.18 €,4.17
London,17.24 €,68.97 €,6.90 €,5.75 €,5.29 €,3.31 €,1.70 €,1.28 €,Edit,1.08 €,1.14 €,1.75 €,2.51 €,7.34 €,7.13 €,11.47 €,2.54 €,1.32 €,2.32 €,2.96 €,1.43 €,1.30 €,0.90 €,0.98 €,9.20 €,2.08 €,2.29 €,14.02 €,Edit,3.22 €,180.27 €,3.45 €,1.95 €,33.10 €,1.37 €,"26,782.52 €","26,249.86 €",Edit,212.35 €,0.15 €,36.29 €,Edit,51.49 €,12.33 €,15.23 €,Edit,"1,654.91 €","20,639.51 €",Edit,68.39 €,33.97 €,79.74 €,94.51 €,Edit,"1,956.34 €","1,449.58 €","3,775.82 €","2,371.40 €",Edit,"12,542.10 €","6,410.09 €",Edit,"3,435.04 €",2.58
Kitchener,13.54 €,57.53 €,6.77 €,4.40 €,5.08 €,2.64 €,1.40 €,1.11 €,Edit,1.24 €,1.97 €,1.96 €,2.18 €,9.52 €,7.83 €,8.86 €,2.33 €,0.99 €,2.84 €,3.08 €,1.36 €,2.03 €,1.66 €,1.09 €,10.15 €,2.06 €,1.80 €,8.87 €,Edit,2.20 €,60.91 €,2.37 €,1.42 €,21.12 €,0.74 €,"16,920.70 €","17,570.45 €",Edit,144.05 €,0.18 €,42.71 €,Edit,30.56 €,11.96 €,9.31 €,Edit,829.11 €,"12,182.90 €",Edit,42.28 €,25.38 €,60.86 €,82.72 €,Edit,964.82 €,780.13 €,"1,351.87 €","1,221.67 €",Edit,"3,453.08 €","2,993.57 €",Edit,"2,111.53 €",3.55
Fresno,9.98 €,39.93 €,6.45 €,3.33 €,4.99 €,4.15 €,1.74 €,1.17 €,Edit,0.77 €,1.76 €,1.98 €,2.42 €,7.47 €,8.30 €,12.04 €,2.42 €,1.49 €,2.18 €,2.21 €,1.27 €,1.51 €,1.20 €,1.60 €,6.66 €,1.90 €,2.62 €,7.49 €,Edit,1.04 €,39.93 €,2.87 €,1.27 €,26.62 €,0.74 €,"19,966.80 €","18,490.09 €",Edit,175.71 €,0.18 €,57.13 €,Edit,25.34 €,16.64 €,10.38 €,Edit,649.96 €,"9,983.40 €",Edit,35.40 €,29.53 €,56.34 €,84.26 €,Edit,941.00 €,892.30 €,"1,351.71 €","1,131.98 €",Edit,"2,129.43 €","1,214.15 €",Edit,"2,758.61 €",3.91
Gdansk,5.48 €,26.32 €,4.61 €,1.97 €,1.86 €,2.09 €,0.90 €,0.65 €,Edit,0.61 €,0.71 €,0.91 €,2.08 €,5.58 €,3.81 €,8.27 €,0.81 €,1.16 €,1.26 €,1.62 €,0.63 €,0.70 €,0.82 €,0.47 €,5.48 €,0.74 €,1.19 €,3.95 €,Edit,0.83 €,22.81 €,1.75 €,0.53 €,8.77 €,1.05 €,"17,238.73 €","17,892.31 €",Edit,181.10 €,0.06 €,12.07 €,Edit,26.12 €,10.31 €,4.39 €,Edit,202.09 €,"3,401.93 €",Edit,92.64 €,37.90 €,78.03 €,125.43 €,Edit,636.44 €,508.22 €,"1,123.27 €",871.15 €,Edit,"3,345.87 €","2,093.96 €",Edit,754.75 €,5.16
Sacramento,12.48 €,49.92 €,6.66 €,4.16 €,4.16 €,3.78 €,1.74 €,1.23 €,Edit,0.77 €,2.84 €,2.92 €,2.15 €,10.71 €,7.97 €,11.47 €,3.96 €,1.44 €,3.68 €,4.60 €,2.15 €,2.22 €,1.25 €,1.18 €,8.32 €,1.67 €,1.72 €,7.49 €,Edit,2.08 €,83.19 €,3.33 €,1.55 €,22.88 €,0.74 €,"20,798.75 €","18,302.90 €",Edit,141.02 €,0.14 €,52.75 €,Edit,42.62 €,6.29 €,10.40 €,Edit,920.49 €,"14,975.10 €",Edit,35.23 €,29.95 €,66.47 €,95.05 €,Edit,"1,236.73 €","1,085.35 €","2,219.23 €","1,666.09 €",Edit,"6,099.10 €","1,948.08 €",Edit,"3,231.13 €",3.80
New Orleans,15.57 €,51.58 €,6.63 €,2.91 €,4.99 €,3.72 €,1.62 €,1.20 €,Edit,0.95 €,2.80 €,3.22 €,1.75 €,8.84 €,6.86 €,8.35 €,3.53 €,1.32 €,2.74 €,3.49 €,2.68 €,2.08 €,1.50 €,1.70 €,9.98 €,2.73 €,2.91 €,6.03 €,Edit,1.04 €,45.76 €,4.16 €,1.78 €,19.13 €,0.46 €,"21,630.70 €","19,430.61 €",Edit,153.47 €,0.14 €,60.25 €,Edit,45.46 €,21.06 €,9.98 €,Edit,711.78 €,"8,874.13 €",Edit,41.89 €,33.28 €,71.55 €,85.90 €,Edit,"1,203.33 €",874.85 €,"1,892.69 €","1,307.14 €",Edit,"3,923.73 €","1,501.70 €",Edit,"2,350.88 €",4.08
Cleveland,11.65 €,43.26 €,6.66 €,4.47 €,5.82 €,3.57 €,1.46 €,1.06 €,Edit,0.56 €,2.03 €,4.16 €,1.35 €,8.40 €,8.76 €,11.45 €,5.60 €,1.32 €,4.58 €,4.36 €,2.06 €,2.40 €,1.69 €,2.16 €,11.65 €,2.71 €,3.19 €,5.87 €,Edit,2.08 €,79.04 €,4.37 €,1.16 €,29.12 €,0.52 €,"16,639.00 €","17,418.95 €",Edit,169.58 €,0.08 €,48.58 €,Edit,29.40 €,9.98 €,9.98 €,Edit,800.75 €,"9,359.44 €",Edit,32.72 €,25.97 €,69.33 €,74.88 €,Edit,"1,123.29 €",801.36 €,"2,113.67 €","1,090.78 €",Edit,"1,308.63 €",424.81 €,Edit,"2,349.59 €",3.80
Edinburgh,17.24 €,68.97 €,6.03 €,5.17 €,4.89 €,3.18 €,1.73 €,1.25 €,Edit,1.07 €,1.19 €,1.45 €,2.42 €,7.91 €,7.50 €,9.81 €,2.25 €,1.29 €,2.05 €,2.23 €,1.10 €,0.99 €,0.72 €,1.18 €,8.33 €,1.95 €,2.17 €,13.79 €,Edit,2.07 €,64.37 €,3.45 €,1.63 €,27.59 €,1.40 €,"24,133.00 €","23,127.06 €",Edit,164.63 €,0.12 €,34.85 €,Edit,40.27 €,15.37 €,11.49 €,Edit,919.57 €,"16,236.18 €",Edit,79.37 €,35.57 €,77.71 €,83.75 €,Edit,939.38 €,751.05 €,"1,781.46 €","1,344.87 €",Edit,"4,739.48 €","3,536.64 €",Edit,"2,270.01 €",2.71
Pereira,2.12 €,13.93 €,2.90 €,0.89 €,1.34 €,0.94 €,0.59 €,0.45 €,Edit,0.61 €,0.82 €,1.08 €,1.21 €,3.12 €,1.83 €,5.12 €,1.69 €,0.63 €,0.88 €,0.95 €,0.46 €,0.60 €,0.53 €,0.61 €,5.01 €,0.73 €,1.16 €,1.76 €,Edit,0.56 €,20.72 €,1.00 €,1.09 €,6.68 €,0.58 €,"11,141.13 €","17,082.32 €",Edit,56.60 €,0.05 €,25.03 €,Edit,14.79 €,6.68 €,2.67 €,Edit,144.83 €,"2,740.72 €",Edit,38.10 €,27.85 €,50.88 €,46.42 €,Edit,148.55 €,100.27 €,315.67 €,213.91 €,Edit,585.03 €,490.91 €,Edit,271.10 €,8.50
Kansas City,12.90 €,49.92 €,6.86 €,3.33 €,4.16 €,3.35 €,1.64 €,1.16 €,Edit,0.75 €,1.91 €,2.79 €,1.44 €,7.74 €,6.76 €,9.72 €,3.60 €,1.71 €,2.29 €,4.47 €,1.59 €,2.02 €,1.53 €,1.34 €,10.82 €,1.73 €,1.97 €,4.99 €,Edit,1.25 €,41.60 €,2.08 €,1.29 €,20.80 €,0.48 €,"23,294.60 €","17,683.47 €",Edit,148.11 €,0.09 €,50.21 €,Edit,36.90 €,9.71 €,9.98 €,Edit,686.36 €,"8,319.50 €",Edit,36.19 €,30.31 €,64.25 €,94.76 €,Edit,983.44 €,668.08 €,"1,284.63 €",982.48 €,Edit,"2,345.40 €",554.17 €,Edit,"2,910.06 €",4.00
Lyon,12.50 €,50.00 €,9.00 €,6.00 €,5.00 €,3.09 €,2.10 €,1.37 €,Edit,0.99 €,1.19 €,1.76 €,3.08 €,16.62 €,9.00 €,17.00 €,2.60 €,1.82 €,2.42 €,2.62 €,1.92 €,2.17 €,1.03 €,0.77 €,6.50 €,1.85 €,3.12 €,10.00 €,Edit,1.90 €,64.00 €,5.00 €,1.77 €,29.40 €,1.47 €,"25,000.00 €","20,663.33 €",Edit,149.39 €,0.10 €,31.14 €,Edit,40.06 €,18.33 €,12.00 €,Edit,450.87 €,"9,333.33 €",Edit,71.17 €,36.25 €,88.46 €,115.71 €,Edit,698.40 €,495.79 €,"1,520.59 €","1,100.00 €",Edit,"4,971.43 €","3,043.75 €",Edit,"2,176.68 €",1.63
Mesa,12.06 €,50.75 €,4.99 €,4.16 €,4.99 €,3.61 €,1.49 €,1.20 €,Edit,0.57 €,2.11 €,3.89 €,1.72 €,7.34 €,6.23 €,7.79 €,2.51 €,1.33 €,2.74 €,2.85 €,1.94 €,1.87 €,1.06 €,1.51 €,9.15 €,2.77 €,2.77 €,8.32 €,Edit,1.66 €,37.44 €,2.37 €,1.14 €,19.13 €,0.62 €,"17,470.95 €","18,630.99 €",Edit,152.30 €,?,51.16 €,Edit,18.72 €,5.23 €,9.15 €,Edit,654.94 €,"6,282.89 €",Edit,29.64 €,28.91 €,64.15 €,78.44 €,Edit,843.46 €,707.05 €,"1,234.06 €","1,075.06 €",Edit,"5,304.01 €","1,305.40 €",Edit,"2,653.13 €",4.12
Portsmouth,17.24 €,58.62 €,5.75 €,4.02 €,5.00 €,3.12 €,1.93 €,1.09 €,Edit,1.03 €,1.12 €,1.17 €,2.00 €,6.13 €,6.38 €,9.77 €,2.56 €,1.15 €,2.64 €,2.66 €,1.35 €,1.10 €,1.13 €,1.10 €,8.05 €,1.81 €,2.49 €,13.79 €,Edit,3.85 €,82.46 €,2.76 €,1.29 €,15.86 €,1.39 €,"26,828.49 €","26,518.14 €",Edit,123.73 €,0.20 €,36.77 €,Edit,34.65 €,10.49 €,5.75 €,Edit,"1,034.52 €","10,345.18 €",Edit,66.67 €,29.02 €,68.25 €,61.30 €,Edit,840.55 €,743.05 €,"1,461.46 €","1,156.65 €",Edit,"2,952.42 €","1,973.25 €",Edit,"1,908.59 €",3.10
Leicester,13.22 €,51.73 €,6.89 €,3.68 €,4.14 €,2.92 €,1.75 €,1.06 €,Edit,1.04 €,1.03 €,1.07 €,1.64 €,5.66 €,5.07 €,8.35 €,1.68 €,1.34 €,1.79 €,1.90 €,1.42 €,0.83 €,0.87 €,1.20 €,6.90 €,2.06 €,1.97 €,12.64 €,Edit,2.76 €,64.37 €,3.68 €,1.25 €,17.24 €,1.44 €,"22,707.67 €","19,655.84 €",Edit,184.34 €,0.07 €,35.63 €,Edit,28.40 €,12.36 €,9.89 €,Edit,616.11 €,"18,966.16 €",Edit,58.27 €,36.27 €,65.14 €,55.52 €,Edit,652.98 €,575.37 €,"1,083.78 €",837.47 €,Edit,"3,161.03 €","2,528.82 €",Edit,"1,942.36 €",3.44
Virginia Beach,9.98 €,49.92 €,6.36 €,3.33 €,4.99 €,3.47 €,1.56 €,1.13 €,Edit,0.58 €,1.87 €,3.17 €,1.22 €,8.31 €,5.49 €,7.94 €,4.07 €,1.60 €,2.69 €,3.17 €,1.71 €,1.77 €,1.25 €,1.33 €,7.49 €,1.80 €,1.77 €,5.41 €,Edit,2.50 €,37.44 €,2.70 €,1.03 €,17.89 €,0.48 €,"18,573.28 €","17,351.70 €",Edit,161.34 €,0.08 €,51.10 €,Edit,23.85 €,24.96 €,9.98 €,Edit,693.29 €,"10,685.01 €",Edit,38.89 €,25.37 €,63.58 €,83.06 €,Edit,919.72 €,842.30 €,"1,533.28 €","1,312.05 €",Edit,"6,477.10 €","1,461.58 €",Edit,"3,475.89 €",3.79
Bacolod,2.33 €,12.07 €,2.59 €,0.95 €,1.55 €,1.83 €,0.29 €,0.29 €,Edit,1.38 €,0.82 €,0.83 €,1.45 €,6.66 €,4.12 €,5.17 €,1.87 €,1.38 €,1.99 €,1.29 €,1.54 €,1.85 €,2.13 €,0.52 €,6.90 €,0.66 €,0.85 €,1.75 €,Edit,0.16 €,?,0.69 €,0.23 €,2.07 €,0.89 €,"23,282.28 €","21,385.20 €",Edit,124.10 €,0.14 €,36.72 €,Edit,27.16 €,4.31 €,4.31 €,Edit,120.72 €,"1,293.46 €",Edit,17.25 €,12.93 €,59.50 €,40.24 €,Edit,241.45 €,134.52 €,517.38 €,280.25 €,Edit,"1,379.69 €",862.31 €,Edit,280.25 €,12.33
San Juan,12.48 €,49.92 €,5.82 €,2.50 €,2.50 €,2.43 €,1.17 €,0.99 €,Edit,1.55 €,1.89 €,1.70 €,2.54 €,7.33 €,8.90 €,10.38 €,4.77 €,1.79 €,3.22 €,3.97 €,2.89 €,2.03 €,2.24 €,1.27 €,12.48 €,1.87 €,2.29 €,8.22 €,Edit,1.25 €,27.04 €,3.33 €,1.66 €,24.96 €,0.63 €,"20,798.75 €","19,999.66 €",Edit,161.90 €,0.09 €,51.92 €,Edit,34.27 €,14.56 €,7.49 €,Edit,413.45 €,"9,169.94 €",Edit,40.19 €,40.21 €,75.17 €,80.46 €,Edit,751.73 €,531.17 €,"1,500.48 €",970.61 €,Edit,"2,210.11 €","1,503.29 €",Edit,"1,719.95 €",4.80
